date,version,ladder_elo,ladder_rank,field_size,gelo,notes
2026-06-28,v22,771.6,1489,4000,,public score from Kaggle submissions API; rank approximate
2026-07-01,v23,796.3,700,4005,719,public score from Kaggle submissions API; rank approximate (user reported ~880/~700 on 07-01); 773 on 07-02
2026-07-02,v24,780,,4005,762,submission 54265639 — 680 at ~7h, 780 at ~24h; user reverted to v23 deck 2026-07-03 ahead of the 48h checkpoint (see report-log 2026-07-03)
2026-07-03,v23-revert,,,4005,719,deck reverted to exact v23 composition; superseded by v25 submission below before shipping separately
2026-07-03,v25,732.0,,4005,469,"submission 54277762 (COMPLETE, publicScore 732.0) -- v23-deck revert + 5 confirmed logic-audit fixes: stype==9 ability-prompt deck-out, Kadabra-retreat (NON_ATTACKER_IDS), Wondrous Patch target scoring, Enriching deck-safety gate, manual-evolve-vs-Rare-Candy racing gate. 400-game A/Bs vs frozen v23, all 5: 52.2%,53.2%,53.2%,54.0%,52.7% (all +-4.9%, parity-range as expected for narrow/rare-state correctness fixes -- 4 independent noisy samples of ~50%, not a trend); all 5 verified end-to-end against real/reconstructed failure states, not just the A/B; 0 errors throughout"
2026-07-03,v25b,861.8,,4005,551,"submission 54279766 (COMPLETE, publicScore 861.8 -- up from v25's 732.0, and above v24's 698.1) -- 2 more fixes on top of v25/54277762: (1) retreat scoring no longer gives Alakazam a blanket +9.0 to retreat whenever opp_mist is up regardless of whether we have Hammer/Boss in hand or a real attacker to promote into -- confirmed via replay 83429870 turn 20, a fully-fueled 140/140 Alakazam retreated into a Kadabra with no Powerful Hand for zero benefit; (2) Rare Candy racing (racing_for_alakazam) gained an offensive trigger (candy_lethal_soon) -- races Candy-to-Alakazam when it sets up a next-turn KO on the opponent's current active, not just when already in HP/prize danger. Also fixed training/harness.py::summarize() counting opponent-crash-as-P0 games as ties instead of wins (found while diagnosing the dragapult gauntlet ties -- opponents/dragapult_agent.py crashes 100% of local games on a Kaggle-only cg.api import; real dragapult win rate is ~100%, not the 75% first reported -- superseded the 767 gElo figure originally logged here, which was read from the pre-harness-fix table). 400-game A/B vs frozen v23: 53.0% +-4.9% (up from 52.0% pre-fix, CIs overlap -- not a confident signal either way). Fresh 200-games/anchor gauntlet post-harness-fix: gElo 551, TOP of the whole table (above v24's 507, v23's 490, v22's 468, v21's 402) -- first version to clear v24 offline. Matches the ladder direction (861.8 > 698.1). Note: Kaggle's live ladder re-scored this submission at 748.3 as of the v25c ship on 2026-07-03 (public score appears to move over time, not static at first read) -- treat publicScore as a snapshot."
2026-07-03,v25c,880,,4005,589,"submission 54282648 -- desperation mode + lone_active_opportunity heuristics (user-directed: race to Alakazam/max hand size instead of survivability once <=1-2 prizes from loss; stop banking draw once a lone opposing active is already in KO range), plus 3 replay-verified fixes: _score_deck_search Alakazam-priority bug (replay 83458785), Hilda-vs-Dawn Basic-fetch context bug (replay 83461698), Boss's Orders PHASE_CLOSING unconditional-score bug (replays 83458785 and 83462350). See docs/version-history.md v25c entry and docs/report-log.md 2026-07-02 entry for full replay evidence. User-reported ladder Elo: peaked ~900, settled ~880 as of 2026-07-03 evening (public score via Kaggle site, not yet pulled via API). Overnight 2026-07-03 gauntlet (200 games/anchor, dragapult excluded -- crashes locally): gElo 589, TOP of the whole table (above v25b's 559, v24's 516, v23's 499); see report-log 2026-07-03 entry."
2026-06-24,v10,680.7,,,292,"retroactive entry -- Kaggle kernel notebook9655c0145f version 10 (submission 54226874), pulled via `kaggle kernels output jander6364/notebook9655c0145f/10` since `kernels pull` 403s on specific historical versions for this account (kernels output works -- fetches the notebook's saved /kaggle/working files, which is the actual built submission). Internally labeled 'v6' in its own docstring -- the project's internal vN counter and Kaggle's autoincrementing kernel Version N counter are different numbering schemes and do not correspond 1:1, confirmed by diffing this against the current notebook's latest pulled version. Investigated per user request: v10 was a big same-day jump from v9's 499.7 (v3=431.3, v1=402.3), user asked if it was a fluke. Gauntlet answer: no fluke, and also not a strength outlier -- v10 gElo 292 is the WEAKEST of every version gauntleted (below v21's 402), losing 22.5%/29.0%/25.0% to v21/v22/v23 while beating the simple sample bots solidly (69-94.5%, 100% vs the still-broken dragapult anchor). The jump matches a real code change: the pulled main.py's own docstring says 'v6 critical fix: REMOVED false-positive wall detection that was suppressing attacks against ALL Fighting/Colorless decks' -- i.e. v9 was very plausibly barely attacking at all, and v10 fixed that, a mundane and legitimate explanation for a same-day 500->680 jump, not ladder noise."
2026-07-04,v26,720.4,,4252,,"submission 54346817 -- Stage 3 Phase C belief wiring: Phase A archetype-posterior weights embedded in main.py (pure python, exception-safe fallback to pre-Phase-C behavior); opp_likely_ace_spec belief-driven (was hardcoded True since v14); Mist/Rock wall ANTICIPATION -- threat from revealed wall energy anywhere / Crustle line / unconfident read by turn 2+, driving Boss-chip savoring + bench-wall Enhanced Hammer (36 vs 3). Design keyed on a new 679-replay tech survey: walls live in crustle (35.8%) and unknown tail (29.0%), not the 5 classifier archetypes (0-3%). Gate: 400-game A/B vs v25c baseline 50.7% +/- 4.9%, 0 errors (non-regression; anticipation path not exercised by anchors -- ladder is the real test). See report-log 2026-07-04 Phase C entry. publicScore reads varied 720.4/726.2 across pulls -- CORRECTION 2026-07-05: this is NOT confirmed as a real regression vs v25c's 818.3, see report-log 2026-07-05 CORRECTION entry -- publicScore reads are age-confounded (fresh submissions climb/settle over hours-to-days) and v25c's 818.3 was 2-days-settled at read time vs v26's few hours. Whether Phase C actually regressed the agent is UNRESOLVED, not established."
2026-07-05,v27,616.5/695.1/735.9 (3 reads),,,,"submission 54354278 -- broaden hand_surplus draw-suppression gate (board-thinning fix): hand_grossly_over=opp_hp<99999 and hand_n>=cards_needed+6, OR'd into the existing ready_attacker_exists-gated hand_surplus condition, so the gate also engages mid-rebuild (attacker just KO'd, no bench backup) when hand is already 2-3x cards_needed from earlier banking. Root cause + fix found by mining 18 exploiter-vs-frozen-main.py replays (18/18 losses = deck-out/board-thinning race). Gate: 300-game mirror A/B (fixed vs frozen pre-fix main.py, i.e. vs v26) 56.0% +/- 5.6%, CI [50.4%,61.6%]. The 3 publicScore reads (616.5, 695.1, 735.9, all within ~30 min of each other) demonstrate the age-confound directly -- same submission climbing in real time, not a stable score. Separately confirmed positive in isolation (54.3%/300 games vs pure v25c, no Phase C). See report-log 2026-07-05 CORRECTION entry."
